occode,occ_name
543,"PUBLISHERS, BOOKSELLERS AND LIBRARIANS (EXCEPT PUBLIC LIBRARIANS)"
544,"MUSIC PUBLISHERS, MUSIC SELLERS"
545,"MAP PUBLISHERS, MAP & PRINT SELLERS"
546,"NEWSPAPER PUBLISHERS"
547,"NEWSPAPER AGENTS"
548,"COTTON & COTTON GOODS MANUFACTURE CARD BLOWING ROOM PROCESSES"
549,"COTTON & COTTON GOODS MANUFACTURE SPINNING PROCESSES"
550,"COTTON & COTTON GOODS MANUFACTURE WINDING WARPING PROCESSES"
551,"COTTON & COTTON GOODS MANUFACTURE WEAVING PROCESSES"
552,"COTTON & COTTON GOODS MANUFACTURE OTHER PROCESSES"
553,"SHEETING MANUFACTURE"
554,"MUSLIN EMBROIDERER"
555,"COTTON & COTTON GOODS MANUFACTURE UNDEFINED"
556,"FUSTIAN MANUFACTURE"
557,"WOOLLEN CLOTH MANUFACTURE SORTING"
558,"WOOLLEN CLOTH MANUFACTURE CARDING COMBING"
559,"WOOL SPINNERS WOOL PIECERS"
560,"WORSTED AND STUFF MANUFACTURE SPINNERS PIECERS"
561,"WOOL WINDERS WOOL WARPERS WOOL WEAVERS"
562,"WORSTED AND STUFF MANUFACTURE WINDERS WARPERS WEAVERS"
563,"FLANNEL MANUFACTURE (VARIOUS)"
564,"BLANKET MANUFACTURE (VARIOUS)"
565,"OTHER WEAVING PROCESSES (WOOL)"
566,"WOOLLEN CLOTH MANUFACTURE OTHER PROCESSES"
567,"TARTAN AND WINCEY MANUFACTURE"
568,"WORSTED AND STUFF MANUFACTURE OTHER PROCESSES"
569,"KNITTER (WOOLEN ARTICLES)"
570,"CRIMPERS"
571,"WOOLLEN CLOTH MANUFACTURE UNDEFINED"
572,"WORSTED AND STUFF MANUFACTURE UNDEFINED"
573,"FULLER"
574,"SILK WORKERS - SPINNERS"
575,"CREPE GAUZE MANUFACTURE (VARIOUS)"
576,"SILK WORKERS - WEAVING PROCESSES"
577,"RIBBON MANUFACTURE"
578,"SILK WORKERS - OTHER PROCESSES"
579,"SILK WORKERS - UNDEFINED"
580,"FLAX LINEN AND DAMASK MANUFACTURE (VARIOUS)"
581,"HEMP MANUFACTURE (VARIOUS)"
582,"JUTE MANUFACTURE (VARIOUS)"
583,"COCOA FIBRE MANUFACTURE (VARIOUS)"
584,"ROPE, TWINE, CORD – MAKERS"
585,"MAT MANUFACTURE (VARIOUS)"
586,"NET MANUFACTURE (VARIOUS)"
587,"CANVAS AND SAILCLOTH MANUFACTURE (VARIOUS)"
588,"SACKING MANUFACTURE (VARIOUS)"
589,"TENT MAKER"
590,"OTHER FIBROUS MATERIALS MAKERS"
591,"THREAD MANUFACTURE (VARIOUS)"
592,"HOSIERY MANUFACTURE"
593,"LACE MANUFACTURE"
594,"ELASTIC WEB MAKERS"
595,"FELT MANUFACTURE (VARIOUS)"
596,"CARPET RUG MANUFACTURE (VARIOUS)"
597,"TRIMMING MAKERS"
598,"TAPE MANUFACTURE (VARIOUS)"
599,"FANCY GOODS TEXTILE MANUFACTURE (VARIOUS)"
600,"SHAWL MAKERS"
601,"KNITTER (UNDEFINED)"
602,"EMBROIDERERS"
603,"CURTAIN MAKERS"
604,"TAPESTRY MANUFACTURE"
605,"WEAVERS SUNDRY FABRICS"
606,"WEAVERS (UNDEFINED)"
607,"OTHER WORKERS SUNDRY FABRICS UNDEFINED"
608,"FACTORY HANDS (TEXTILE) UNDEFINED (VARIOUS)"
609,"WOOL WOOLLEN GOODS BLEACHERS"
610,"SILK BLEACHERS"
611,"COTTON & CALICO BLEACHERS"
612,"FLAX LINEN BLEACHERS"
613,"UNDEFINED TEXTILE BLEACHERS"
614,"WOOL WOOLLEN GOODS PRINTERS"
615,"SILK PRINTERS"
616,"COTTON & CALICO PRINTERS"
617,"UNDEFINED TEXTILE PRINTERS"
618,"WOOL WOOLLEN GOODS DYERS"
619,"SILK DYERS"
620,"COTTON & CALICO DYERS"
621,"FLAX LINEN DYERS"
622,"UNDEFINED TEXTILE DYERS"
623,"WOOL WOOLLEN GOODS FINISHERS"
624,"SILK FINISHERS"
625,"COTTON & CALICO FINISHERS"
626,"FLAX LINEN FINISHERS"
627,"UNDEFINED TEXTILE FINISHERS"
628,"DRAPERS LINEN DRAPERS MERCERS"
629,"COTTON PLANTER GROWER"
630,"WOOLSTAPLER WOOL DEALER BROKER"
631,"CLOTH WORSTED AND STUFF MERCHANTS DEALERS"
632,"YARN MERCHANT"
633,"WASTE MERCHANT"
634,"SILK MERCHANTS DEALERS"
635,"ROPE TWINE CORD - DEALERS"
636,"MAT SELLERS"
637,"OTHER FIBROUS MATERIALS DEALERS"
638,"COTTON & CALICO DEALERS"
639,"FLAX LINEN DEALERS"
640,"LACE DEALERS"
641,"FUSTIAN DEALERS"
642,"THREAD DEALERS"
643,"MANCHESTER GOODS WAREHOUSEMEN"
644,"DEALERS SUNDRY FABRICS"
645,"STRAW PLAIT MANUFACTURE"
646,"STRAW HAT MANUFACTURE"
647,"FELT HAT MANUFACTURE WOLLEN BONNET MANUFACTURE"
648,"CLOTH HAT CAP MANUFACTURE"
649,"HAT CAP (NOT CLOTH FELT STRAW) MANUFACTURE"
650,"MILLINERS (NOT RETAIL - WORKSHOP/FACTORY)"
651,"HATTERS"
652,"MILLINERS (RETAIL)"
653,"TAILORS (NOT MERCHANTS) - DEFAULT"
654,"OTHERS CLOTHING MANUFACTURERS"
655,"CLOTHIERS & OUTFITTERS (IE DEALERS AND MERCHANTS)"
656,"CLOTHES DEALERS"
657,"DRESSMAKERS"
658,"STAY AND CORSET MAKERS"
659,"SHIRTMAKERS AND SEAMSTRESSES"
660,"BUTTON MAKERS"
661,"GLOVE MANUFACTURE"
662,"HOSIERS HABERDASHERS"
663,"SHOE AND BOOT MAKERS (AND REPAIRERS)"
664,"SLIPPER MAKERS"
665,"PATTEN, CLOG MAKERS"
666,"FOOTWEAR DEALERS"
667,"ARTIFICIAL FLOWER MAKERS"
668,"HAIRDRESSERS"
669,"UMBRELLA PARASOL AND STICK MAKERS"
670,"ACCOUTREMENT MAKERS"
671,"GLOVE DEALERS"
672,"BUTTON DEALERS"
673,"UMBRELLA PARASOL AND STICK DEALERS"
674,"OTHER DEALERS IN DRESS"
675,"ARTIFICIAL FLOWER DEALERS"
676,"CREAMERY WORKERS"
677,"COWKEEPERS, MILKSELLERS"
678,"PROVISION CURERS"
679,"CHEESEMONGERS BUTTERMEN"
680,"PROVISION DEALERS"
681,"SLAUGHTERER"
682,"BUTCHERS AND MEAT SALESMEN"
683,"FISH CURERS"
684,"POULTERERS GAME DEALERS"
685,"FISHMONGERS"
686,"CORN MILLERS"
687,"CORN FLOUR AND SEED MERCHANTS DEALERS"
688,"HAY STRAW AND CHAFF CUTTERS"
689,"HAY STRAW AND CHAFF DEALERS"
690,"BISCUIT CAKE BREAD MAKERS"
691,"BAKERS (DEALERS)"
692,"BISCUIT CAKE DEALERS (CONFECTIONISTS)"
693,"SUGAR REFINERS"
694,"JAM PRESERVE SWEET MAKERS"
695,"CHOCOLATE COCOA MAKERS"
696,"COFFEE TEA PLANTER GROWER"
697,"GROCERS TEA DEALERS"
698,"GREENGROCERS FRUITERERS POTATO DEALERS"
699,"GINGER BEER MINERAL WATER MANUFACTURE OTHERS"
700,"MUSTARD VINEGAR SPICE PICKLE MAKERS"
701,"ICE MAKERS"
702,"SUGAR PLANTER GROWER"
703,"OTHERS DEALING IN FOOD"
704,"HOP MERCHANTS DEALERS"
705,"ICE DEALERS IMPORTERS VENDORS"
706,"TOBACCO MANUFACTURE"
707,"TOBACCONISTS"
708,"MALTSTERS"
709,"BREWERS"
710,"DISTILLERS AND RECTIFIERS"
711,"COFFEE AND EATING-HOUSE KEEPERS"
712,"LODGING AND BOARDING-HOUSE KEEPERS"
713,"INNKEEPERS, HOTEL KEEPERS AND PUBLICANS"
714,"BEERSELLERS"
715,"BEER BOTTLERS"
716,"CELLARMEN"
717,"BARMEN (NOT IN SERVICE)"
718,"BOARDING LODGING HOUSE WAITERS (NON-RESIDENT)"
719,"HOTEL WAITERS"
720,"HOTEL PORTERS BOOTS KNIFEMEN PLATEMEN PLATE CLEANERS POLISHERS (NON-RESIDENT)"
721,"OTHER HOTEL SERVANTS"
722,"WINE AND SPIRIT MERCHANTS"
723,"GAS WORKS SERVICE"
724,"WATERWORKS SERVICE"
725,"OTHER ELECTRICITY SUPPLY"
726,"ELECTRICITY GENERATION DISTRIBUTION"
727,"TOWN DRAINAGE"
728,"SCAVENGING, STREET CLEANERS, CROSSING SWEEPERS, DUSTMEN"
729,"CIRCULAR ENVELOPE ADDRESSERS"
730,"ADVERTISING AGENTS"
731,"BILLSTICKERS"
732,"SANDWICHMEN, BILL DISTRIBUTORS"
733,"CATTLE SHEEP ETC SALESMEN"
734,"DROVERS"
735,"OTHERS ENGAGED ABOUT ANIMALS (NOT AGRIC)"
736,"KNACKER CATSMEAT DEALERS"
737,"CELLULOID MAKERS, WORKERS"
738,"TOBACCO PIPE AND SNUFF BOX MANUFACTURE"
739,"BONE HORN IVORY TORTOISE-SHELL WORKERS"
740,"COMB MAKERS"
741,"FLOORCLOTH AND OILCLOTH MANUFACTURE"
742,"JAPANNERS"
743,"CHIMNEY SWEEPERS"
744,"RAG DEALERS"
745,"ORGAN GRINDERS"
746,"ANIMAL, BIRD PRESERVERS TAXIDERMISTS"
747,"FIGURE AND IMAGE MAKERS NOT EARTHENWARE"
748,"GUT MANUFACTURE"
749,"CHARCOAL BURNERS"
750,"OTHER WORKERS IN SUNDRY INDUSTRIES"
751,"DEALERS IN SUNDRY MATERIALS"
752,"DEALERS IN BOOKBINDERS MATERIALS"
753,"SPONGE DEALER"
754,"CHARCOAL DEALERS"
755,"WATER DEALERS"
756,"RECEIVING SHOP, RECEIVING OFFICE, KEEPERS, ASSISTANTS"
757,"MULTIPLE SHOP KEEPERS"
758,"GENERAL SHOPKEEPERS DEALERS"
759,"PAWNBROKERS"
760,"HAWKERS HUCKSTERS COSTERS"
761,"MANUFACTURERS, MANAGERS, SUPERINTENDENTS, FOREMEN (UNSPECIFIED)"
762,"CONTRACTORS - PUBLIC WORKS ETC"
763,"NEWS BOYS VENDORS"
764,"CORPORATION BOROUGH COUNCIL LABOURERS (UNDEFINED)"
765,"GENERAL LABOURERS"
766,"ENGINE DRIVERS, STOKERS, FIREMEN (NOT RAILWAY, MARINE, OR AGRICULTURAL)"
767,"DRAUGHTSMEN (UNDEFINED)"
768,"ARTISANS MECHANICS"
769,"APPRENTICES"
770,"FACTORY LABOURERS (UNDEFINED)"
771,"MACHINISTS MACHINE WORKERS UNDEFINED"
772,"RETIRED (NOT ARMY OR NAVY)"
773,"ARMY PENSIONERS"
774,"NAVY PENSIONERS"
775,"PENSIONERS, SUPERANNUATED"
776,"RECEIVING OLD AGE PENSION (OCCUPATION OR FORMER OCCUPATION NOT STATED)"
777,"OWNERS OF COMPANIES"
778,"PRIVATE MEANS"
779,"THEOLOGICAL STUDENTS"
780,"LAW STUDENTS"
781,"MEDICAL STUDENTS"
782,"LITERARY STUDENTS"
783,"ART STUDENTS"
784,"SCIENTIFIC STUDENTS"
785,"OTHER STUDENTS"
786,"AGRICULTURAL STUDENTS"
787,"SCHOLARS ETC"
788,"WIVES AND OTHERS ENGAGED IN (OWN) HOUSEHOLD DUTIES"
789,"WIVES ASSISTING GENERALLY IN THEIR HUSBANDS OCCUPATIONS (WIFE OF …)"
790,"WIDOWS (OF NO SPECIFIED OCCUPATION)"
791,"CHILDREN RELATIVES VISITORS AT HOME"
792,"PROSTITUTES"
793,"FOREIGN DIPLOMATS"
794,"NO SPECIFIED OCCUPATION - RECEIVING INCOME, SUPPORT"
795,"NO SPECIFIED OCCUPATION - CHILDREN"
796,"PRISONERS, REFORM SCHOOL INMATES ETC"
797,"NO SPECIFIED OCCUPATION - VAGRANTS, UNEMPLOYED"
